Tweet text,labels,hashtag,cleaned_text,tokenized_lemmatized_text
Autocorrect changes ''em' to 'me' which I resent greatly ,0,[],autocorrect changes em me i resent greatly,"['autocorrect', 'change', 'em', 'me', 'i', 'resent', 'greatly']"
@user I would never strategically vote for someone I don't agree with. A lot of the Clinton vote based on fear and negativity. ,0,[],i strategically vote i don t agree with a lot clinton vote based fear negativity ,"['i', 'strategically', 'vote', 'i', 'don', 't', 'agree', 'with', 'a', 'lot', 'clinton', 'vote', 'based', 'fear', 'negativity']"
@user Haters!!! You are low in self worth. Self righteous in your delusions. You cower at the thought of change. Change is inevitable. ,0,[],haters you low self worth self righteous delusions you cower thought change change inevitable ,"['hater', 'you', 'low', 'self', 'worth', 'self', 'righteous', 'delusion', 'you', 'cower', 'thought', 'change', 'change', 'inevitable']"
I saved him after ordering him to risk his life. I didn't panic but stayed calm and rescued him. ,2,[],i saved ordering risk life i didn t panic stayed calm rescued him ,"['i', 'saved', 'ordering', 'risk', 'life', 'i', 'didn', 't', 'panic', 'stayed', 'calm', 'rescued', 'him']"
@user Uggh that's really horrible. You're not a bad person by any stretch of the imagination. I hope this person realizes that. ,2,[],uggh that s horrible you re bad person stretch imagination i hope person realizes that ,"['uggh', 'that', 's', 'horrible', 'you', 're', 'bad', 'person', 'stretch', 'imagination', 'i', 'hope', 'person', 'realizes', 'that']"
@user @user @user Tamra would F her up if she swung on Tamra\nKelly is a piece of 💩 #needstobeadmitted #bully ,0,"['needstobeadmitted', 'bully']",tamra f swung tamra nkelly piece,"['tamra', 'f', 'swung', 'tamra', 'nkelly', 'piece']"
Love is when all your happiness and all your sadness and all your feelings are dependent on another person. ,2,[],love happiness sadness feelings dependent person ,"['love', 'happiness', 'sadness', 'feeling', 'dependent', 'person']"
"It’s possible changing meds is best not done while under stress. Difficult to tell what part of despair is circumstantial, what is drugs. ",3,[],its possible changing meds best stress difficult tell despair circumstantial drugs ,"['it', 'possible', 'changing', 'med', 'best', 'stress', 'difficult', 'tell', 'despair', 'circumstantial', 'drug']"
"im also definitely still bitter about the yellow ranger not being asian, but asian representation in hollywood is essentially a shrug anyway ",0,[],im definitely bitter yellow ranger asian asian representation hollywood essentially shrug,"['im', 'definitely', 'bitter', 'yellow', 'ranger', 'asian', 'asian', 'representation', 'hollywood', 'essentially', 'shrug']"
@user The irony is that those protesting about this kind of stuff are the Orwellian nightmare they think they’re fighting against. ,0,[],the irony protesting kind stuff orwellian nightmare think theyre fighting against ,"['the', 'irony', 'protesting', 'kind', 'stuff', 'orwellian', 'nightmare', 'think', 'theyre', 'fighting', 'against']"
@user @user nah way that's horrible ,0,[],nah way that s horrible,"['nah', 'way', 'that', 's', 'horrible']"
@user I think just becz u have so much terror in pak nd urself being  a leader u forgot d difference btw a leader nd terrorist ! ,0,[],i think becz u terror pak nd urself leader u forgot d difference btw leader nd terrorist ,"['i', 'think', 'becz', 'u', 'terror', 'pak', 'nd', 'urself', 'leader', 'u', 'forgot', 'd', 'difference', 'btw', 'leader', 'nd', 'terrorist']"
angel delight is my everything ,1,[],angel delight,"['angel', 'delight']"
Puzzle investing opening portland feodal population is correlative straight a snorting infuriate: XLzjYhG ,0,[],puzzle investing opening portland feodal population correlative straight snorting infuriate xlzjyhg,"['puzzle', 'investing', 'opening', 'portland', 'feodal', 'population', 'correlative', 'straight', 'snorting', 'infuriate', 'xlzjyhg']"
I believe I'm gonna start singing in my snap stories on the tractor. Switch it up a little bit. ,1,[],i believe i m gonna start singing snap stories tractor switch little bit ,"['i', 'believe', 'i', 'm', 'gonna', 'start', 'singing', 'snap', 'story', 'tractor', 'switch', 'little', 'bit']"
I have a rage rage ep 2 coming out soon I'll keep you posted on it #YouTube #youtubegaming #rage ,0,"['YouTube', 'youtubegaming', 'rage']",i rage rage ep coming soon i ll posted,"['i', 'rage', 'rage', 'ep', 'coming', 'soon', 'i', 'll', 'posted']"
Why have I only just started watching glee this week I am now addicted 🙄 #glee #GLEEK ,1,"['glee', 'GLEEK']",why i started watching glee week i addicted,"['why', 'i', 'started', 'watching', 'glee', 'week', 'i', 'addicted']"
"Jorge deserves it, honestly. He's weak.  #90dayfiance ",0,['90dayfiance'],jorge deserves it honestly he s weak ,"['jorge', 'deserves', 'it', 'honestly', 'he', 's', 'weak']"
@user 'shit' doesn't even begin to describe these fiery little demons straight from hell 🌝🌚 ;) ,0,[], shit doesn t begin fiery little demons straight hell,"['shit', 'doesn', 't', 'begin', 'fiery', 'little', 'demon', 'straight', 'hell']"
@user @user ditto!! Such an amazing atmosphere! #PhilippPlein #cheerleaders #stunt #LondonEvents #cheer ,1,"['PhilippPlein', 'cheerleaders', 'stunt', 'LondonEvents', 'cheer']",ditto such amazing atmosphere ,"['ditto', 'such', 'amazing', 'atmosphere']"
"Interview preparation, I hate talking about myself, one dull subject matter! #yawnoff ",0,['yawnoff'],interview preparation i hate talking myself dull subject matter ,"['interview', 'preparation', 'i', 'hate', 'talking', 'myself', 'dull', 'subject', 'matter']"
Manchester derby at home  ,1,[],manchester derby home,"['manchester', 'derby', 'home']"
"It'd probably be useful to more than women, but I'm dealing with re-reading an article about a woman being harassed on the subway. #concern ",0,['concern'],it d probably useful women i m dealing re reading article woman harassed subway ,"['it', 'd', 'probably', 'useful', 'woman', 'i', 'm', 'dealing', 're', 'reading', 'article', 'woman', 'harassed', 'subway']"
her; i want a playful relationship\nme; *kicks her off the couch* ,1,[],her want playful relationship nme kicks couch ,"['her', 'want', 'playful', 'relationship', 'nme', 'kick', 'couch']"
Romero is fucking dreadful like seriously my 11 month old is better than him. ,0,[],romero fucking dreadful like seriously month old better him ,"['romero', 'fucking', 'dreadful', 'like', 'seriously', 'month', 'old', 'better', 'him']"
"@user It’s taken for granted, while the misogyny in the air is treated as normal — and any angry response to it as pathological. ",0,[],its taken granted misogyny air treated normal angry response pathological ,"['it', 'taken', 'granted', 'misogyny', 'air', 'treated', 'normal', 'angry', 'response', 'pathological']"
@user oh I see. I've seen so many people mourn the loss that I was surprised to see your tweet. I suppose same old here in SA ,3,[],oh i see i ve seen people mourn loss i surprised tweet i suppose old sa,"['oh', 'i', 'see', 'i', 've', 'seen', 'people', 'mourn', 'loss', 'i', 'surprised', 'tweet', 'i', 'suppose', 'old', 'sa']"
so gutted i dropped one of my earrings down the sink at school ,3,[],gutted dropped earrings sink school,"['gutted', 'dropped', 'earring', 'sink', 'school']"
"Happy birthday to Stephen King, a man responsible for some of the best horror of the past 40 years... and a whole bunch of the worst. ",1,[],happy birthday stephen king man responsible best horror past years bunch worst ,"['happy', 'birthday', 'stephen', 'king', 'man', 'responsible', 'best', 'horror', 'past', 'year', 'bunch', 'worst']"
“ My courage always rises at every attempt to intimidate me.”\n-Elizabeth Bennett (Pride and Prejudice)\n#Quotes #Courage #FaceYourFears ,2,"['Quotes', 'Courage', 'FaceYourFears']",my courage rises attempt intimidate me n elizabeth bennett pride prejudice n,"['my', 'courage', 'rise', 'attempt', 'intimidate', 'me', 'n', 'elizabeth', 'bennett', 'pride', 'prejudice', 'n']"
"It's a good day at work when you get to shake Jim Lehrer's hand. Thanks, @user Still kicking myself for being to shy to hug @user ",1,[],it s good day work shake jim lehrer s hand thanks still kicking shy hug,"['it', 's', 'good', 'day', 'work', 'shake', 'jim', 'lehrer', 's', 'hand', 'thanks', 'still', 'kicking', 'shy', 'hug']"
I'm so bored and fat and full and ridiculously overweight and rolls galore  ,3,[],i m bored fat ridiculously overweight rolls galore,"['i', 'm', 'bored', 'fat', 'ridiculously', 'overweight', 'roll', 'galore']"
"@user Flirt, simper, pout, repeat. Yuck. ",0,[],flirt simper pout repeat yuck ,"['flirt', 'simper', 'pout', 'repeat', 'yuck']"
"Trumpism likewise rests on a bed of racial resentment that was made knowingly and intentionally, long before Trump got into politics. ",0,[],trumpism likewise rests bed racial resentment knowingly intentionally long trump got politics ,"['trumpism', 'likewise', 'rest', 'bed', 'racial', 'resentment', 'knowingly', 'intentionally', 'long', 'trump', 'got', 'politics']"
There's this Bpharm4 guy Eish that guy brings anger into my life. When I see him nje like darkness fills me @user will know ,0,[],there s bpharm guy eish guy brings anger life when i nje like darkness fills know,"['there', 's', 'bpharm', 'guy', 'eish', 'guy', 'brings', 'anger', 'life', 'when', 'i', 'nje', 'like', 'darkness', 'fill', 'know']"
"Tears and eyes can dry but I won't, I'm burning like the wire in a lightbulb ",0,[],tears eyes dry i won t i m burning like wire lightbulb,"['tear', 'eye', 'dry', 'i', 'won', 't', 'i', 'm', 'burning', 'like', 'wire', 'lightbulb']"
Nor hell a fury like a woman scorned -- William Congreve ,0,[],nor hell fury like woman scorned william congreve,"['nor', 'hell', 'fury', 'like', 'woman', 'scorned', 'william', 'congreve']"
@user Tried 2 get earlier flt 2day  @user Turnd away bcuz it was 2 late Then agent let other pas on #silvereliteleftbehind  ,3,['silvereliteleftbehind'],tried earlier flt day turnd away bcuz late then agent let pas,"['tried', 'earlier', 'flt', 'day', 'turnd', 'away', 'bcuz', 'late', 'then', 'agent', 'let', 'pa']"
"@user I so wish you could someday come to Spain with the play, I can't believe I'm not going to see it #sad ",3,['sad'],i wish someday come spain play i can t believe i m going,"['i', 'wish', 'someday', 'come', 'spain', 'play', 'i', 'can', 't', 'believe', 'i', 'm', 'going']"
"Val got a little too big for her hiking boots with that bakewell, the little terror #GBBO ",1,['GBBO'],val got little big hiking boots bakewell little terror,"['val', 'got', 'little', 'big', 'hiking', 'boot', 'bakewell', 'little', 'terror']"
@user bts' 화양연화 trilogy MV is my all time fav🙌 quite gloomy but beautiful as well✨ ,1,[],bts trilogy mv time fav gloomy beautiful,"['bts', 'trilogy', 'mv', 'time', 'fav', 'gloomy', 'beautiful']"
@user @user Prudence suggests that a 8+% bump over 2-3 weeks should be viewed with SKEPTICISM. Media/HRC axis #angry ,0,['angry'],prudence suggests bump  weeks viewed skepticism media hrc axis,"['prudence', 'suggests', 'bump', 'week', 'viewed', 'skepticism', 'medium', 'hrc', 'axis']"
Thank you disney themed episode for letting me discover how amazing the @user are! #hilarious ,1,['hilarious'],thank disney themed episode letting discover amazing are ,"['thank', 'disney', 'themed', 'episode', 'letting', 'discover', 'amazing', 'are']"
Need a new outlet for #rage ,0,['rage'],need new outlet,"['need', 'new', 'outlet']"
Rewatching 'Raising Hope' (with hubs this time) and totally forgot how hilarious it is 😂 #HereWeGo ,1,['HereWeGo'],rewatching raising hope with hubs time totally forgot hilarious,"['rewatching', 'raising', 'hope', 'with', 'hub', 'time', 'totally', 'forgot', 'hilarious']"
@user @user wow. not heard this in forever. Random but. great #sting #xph ,1,"['sting', 'xph']",wow heard forever random but great,"['wow', 'heard', 'forever', 'random', 'but', 'great']"
May the optimism of tomorrow be your foundation for today. ,2,[],may optimism tomorrow foundation today ,"['may', 'optimism', 'tomorrow', 'foundation', 'today']"
"@user @user @user \n\nAnd also, trying to find it on Youtube is a fucking nightmare. ",0,[], n nand also trying youtube fucking nightmare ,"['n', 'nand', 'also', 'trying', 'youtube', 'fucking', 'nightmare']"
@user spent over 2 fucking hours and still can't get that dam SIVA fragment on Fellwinters peak mountain  ,0,[],spent fucking hours can t dam siva fragment fellwinters peak mountain,"['spent', 'fucking', 'hour', 'can', 't', 'dam', 'siva', 'fragment', 'fellwinters', 'peak', 'mountain']"
"Happy Birthday, LOST! / #lost #dharmainitiative #12years #22september2004 #oceanic815 ",1,"['lost', 'dharmainitiative', '12years', '22september2004', 'oceanic815']",happy birthday lost ,"['happy', 'birthday', 'lost']"
"#PeopleLikeMeBecause they see the happy exterior, not the hopelessness I sometimes feel inside. #depression  #anxietyprobz ",3,"['PeopleLikeMeBecause', 'depression', 'anxietyprobz']",happy exterior hopelessness i feel inside ,"['happy', 'exterior', 'hopelessness', 'i', 'feel', 'inside']"
People who go the speed limit irritate me ,0,[],people speed limit irritate,"['people', 'speed', 'limit', 'irritate']"
#FF \n\n@The_Family_X \n\n#soul #blues &amp; #rock #band\n\n#music from the #heart\n\nWith soul &amp; #passion \n\nXx 🎶 xX ,1,"['FF', 'soul', 'blues', 'rock', 'band', 'music', 'heart', 'passion']", n n n n amp n n n nwith soul amp n nxx xx,"['n', 'n', 'n', 'n', 'amp', 'n', 'n', 'n', 'nwith', 'soul', 'amp', 'n', 'nxx', 'xx']"
@user @user ohh.. so here comes sense from terror supporting stone pelting vandalizing ppl who gather b4 protests to announce ... ,0,[],ohh comes sense terror supporting stone pelting vandalizing ppl gather b protests announce ,"['ohh', 'come', 'sense', 'terror', 'supporting', 'stone', 'pelting', 'vandalizing', 'ppl', 'gather', 'b', 'protest', 'announce']"
My fav #movies are #horror but they don't make them like they used too. Haven't seen a great one in years ,3,"['movies', 'horror']",my fav don t like too haven t seen great years,"['my', 'fav', 'don', 't', 'like', 'too', 'haven', 't', 'seen', 'great', 'year']"
I'd like to bridge the divide between Right and Left Twitter and say that the new Tweet truncating thing is fucking awful. ,0,[],i d like bridge divide right left twitter new tweet truncating thing fucking awful ,"['i', 'd', 'like', 'bridge', 'divide', 'right', 'left', 'twitter', 'new', 'tweet', 'truncating', 'thing', 'fucking', 'awful']"
@user I am shy xD ,3,[],i shy xd,"['i', 'shy', 'xd']"
After what just happened. In need to smoke.  ,0,[],after happened in need smoke ,"['after', 'happened', 'in', 'need', 'smoke']"
Joes gf started singing all star and then Joe got angry and was all sing it right and started angrily singing it back at her ,0,[],joes gf started singing star joe got angry sing right started angrily singing,"['joes', 'gf', 'started', 'singing', 'star', 'joe', 'got', 'angry', 'sing', 'right', 'started', 'angrily', 'singing']"
"@user I remember its heyday, but these ladies range in age from, I'd say, mid-30s to early 70s. ",1,[],i remember heyday ladies range age from i d say mid s early s ,"['i', 'remember', 'heyday', 'lady', 'range', 'age', 'from', 'i', 'd', 'say', 'mid', 's', 'early', 's']"
@user so this houses will get into my instestines and scare my poop and I'll shit my pants? ,0,[],houses instestines scare poop i ll shit pants ,"['house', 'instestines', 'scare', 'poop', 'i', 'll', 'shit', 'pant']"
@user @user @user \n\ndo REDNECKS intellectually intimidate you and force you to be their dancing clown? ,0,[], n ndo rednecks intellectually intimidate force dancing clown ,"['n', 'ndo', 'redneck', 'intellectually', 'intimidate', 'force', 'dancing', 'clown']"
"Sometimes I like to talk about my sadness.  Other times, I just want to be distracted by friends, laughter, shopping, eating...  \n\n#MHChat ",3,['MHChat'],sometimes i like talk sadness other times i want distracted friends laughter shopping eating n n,"['sometimes', 'i', 'like', 'talk', 'sadness', 'other', 'time', 'i', 'want', 'distracted', 'friend', 'laughter', 'shopping', 'eating', 'n', 'n']"
Noooooo @user without #MaryBerry will be #awful #endofanera going 2b so #lost @user have bought a #lameduck there #notallaboutthemoney ,0,"['MaryBerry', 'awful', 'endofanera', 'lost', 'lameduck', 'notallaboutthemoney']",noooooo going b bought,"['noooooo', 'going', 'b', 'bought']"
"On the bright side, my music theory teacher just pocket dabbed and said, 'I know what's hip.' And walked away 😂😭 ",1,[],on bright side music theory teacher pocket dabbed said i know what s hip and walked away,"['on', 'bright', 'side', 'music', 'theory', 'teacher', 'pocket', 'dabbed', 'said', 'i', 'know', 'what', 's', 'hip', 'and', 'walked', 'away']"
"@user it can go one of two ways. You either get over it and accept it, because it's not going to change, or you mope about -- ",0,[],ways you accept it it s going change mope ,"['way', 'you', 'accept', 'it', 'it', 's', 'going', 'change', 'mope']"
"#PeopleLikeMeBecause they see the happy exterior, not the hopelessness I sometimes feel inside. #depression #anxiety #anxietyprobz ",3,"['PeopleLikeMeBecause', 'depression', 'anxiety', 'anxietyprobz']",happy exterior hopelessness i feel inside ,"['happy', 'exterior', 'hopelessness', 'i', 'feel', 'inside']"
#ThisIsUs has messed with my mind &amp; now I'm anticipating the next episode with #apprehension &amp; #delight! #isthereahelplineforthis ,1,"['ThisIsUs', 'apprehension', 'delight', 'isthereahelplineforthis']",messed mind amp i m anticipating episode amp ,"['messed', 'mind', 'amp', 'i', 'm', 'anticipating', 'episode', 'amp']"
God we need a new goal keeper! They’re both horrific. ,0,[],god need new goal keeper theyre horrific ,"['god', 'need', 'new', 'goal', 'keeper', 'theyre', 'horrific']"
@user Old age?! No hope for the rest of us. Destined to become deatheaters by 50 #nightmare ,3,['nightmare'],old age no hope rest us destined deatheaters,"['old', 'age', 'no', 'hope', 'rest', 'u', 'destined', 'deatheaters']"
"@user if I wanted GREEN POTATOES, a bottle with the tag still on, plus soaking wet items delivered - I'm winning today-sadly I didn't  ",3,[],i wanted green potatoes bottle tag on plus soaking wet items delivered i m winning today sadly i didn t,"['i', 'wanted', 'green', 'potato', 'bottle', 'tag', 'on', 'plus', 'soaking', 'wet', 'item', 'delivered', 'i', 'm', 'winning', 'today', 'sadly', 'i', 'didn', 't']"
"Everybody's worried about stopping #terrorism. Well, there's a really easy way: stop participating in it. -  Noam Chomsky ",2,['terrorism'],everybody s worried stopping well there s easy way stop participating it noam chomsky,"['everybody', 's', 'worried', 'stopping', 'well', 'there', 's', 'easy', 'way', 'stop', 'participating', 'it', 'noam', 'chomsky']"
wow almost all the T-Mobile stores in San Diego are out of Note7 replacements #sadness I need to get mine replaced ,3,['sadness'],wow t mobile stores san diego note replacements i need replaced,"['wow', 't', 'mobile', 'store', 'san', 'diego', 'note', 'replacement', 'i', 'need', 'replaced']"
I am worried that she felt safe. #unhappy ,3,['unhappy'],i worried felt safe ,"['i', 'worried', 'felt', 'safe']"
#ahs6 every 5 minutes I've been saying 'nope nope I'd be gone by now.' 'MOVE' or 'GTFO' so thank you for the  ,0,['ahs6'],minutes i ve saying nope nope i d gone now move gtfo thank,"['minute', 'i', 've', 'saying', 'nope', 'nope', 'i', 'd', 'gone', 'now', 'move', 'gtfo', 'thank']"
Nothing worse than an uber driver that can't drive. #awful ,0,['awful'],nothing worse uber driver can t drive ,"['nothing', 'worse', 'uber', 'driver', 'can', 't', 'drive']"
"Leave it on there, rule,nimber 1 of carpet cleaning!!! #furious #worsethananatomicbomb #accidentlyspillbeeronthecarpet ",0,"['furious', 'worsethananatomicbomb', 'accidentlyspillbeeronthecarpet']",leave there rule nimber carpet cleaning ,"['leave', 'there', 'rule', 'nimber', 'carpet', 'cleaning']"
Said it before and I'll say it now: America is really fortunate that black people only want equality and not revenge. ,1,[],said i ll now america fortunate black people want equality revenge ,"['said', 'i', 'll', 'now', 'america', 'fortunate', 'black', 'people', 'want', 'equality', 'revenge']"
@user u know ion play that shit bout my weary brother ,0,[],u know ion play shit bout weary brother,"['u', 'know', 'ion', 'play', 'shit', 'bout', 'weary', 'brother']"
@user @user cmode grimrail made me want to eat angry bees ,0,[],cmode grimrail want eat angry bees,"['cmode', 'grimrail', 'want', 'eat', 'angry', 'bee']"
Happy Birthday @user #cheer #cheerchick #jeep #jeepgirl #IDriveAJeep #jeepjeep #Cheer ,1,"['cheer', 'cheerchick', 'jeep', 'jeepgirl', 'IDriveAJeep', 'jeepjeep', 'Cheer']",happy birthday,"['happy', 'birthday']"
"@user I assure you there is no laughter, but increasing anger at the costs, and arrogance of Westminster. ",0,[],i assure laughter increasing anger costs arrogance westminster ,"['i', 'assure', 'laughter', 'increasing', 'anger', 'cost', 'arrogance', 'westminster']"
Why are people even debating on race inequality within our justice system like it's non existent? They're just trying to aggravate us. ,0,[],why people debating race inequality justice like it s non existent they re trying aggravate us ,"['why', 'people', 'debating', 'race', 'inequality', 'justice', 'like', 'it', 's', 'non', 'existent', 'they', 're', 'trying', 'aggravate', 'u']"
"We're in contained depression. Only new economic engine is #Sustainability, say Joel @user + @user @ #VERGEcon. #NewGrandStrategy ",3,"['Sustainability', 'VERGEcon', 'NewGrandStrategy']",we re contained depression only new economic engine joel ,"['we', 're', 'contained', 'depression', 'only', 'new', 'economic', 'engine', 'joel']"
@user &gt; huff louder ,3,[], gt huff louder,"['gt', 'huff', 'louder']"
"@user lol I thought maybe, couldn't decide if there was levity or not ",1,[],lol i thought maybe couldn t decide levity,"['lol', 'i', 'thought', 'maybe', 'couldn', 't', 'decide', 'levity']"
There's a certain hilarity in people angry at protests against the national anthem or the flag when these acts are covered by 1st Amendment. ,0,[],there s certain hilarity people angry protests national anthem flag acts covered st amendment ,"['there', 's', 'certain', 'hilarity', 'people', 'angry', 'protest', 'national', 'anthem', 'flag', 'act', 'covered', 'st', 'amendment']"
I don't want the pity of my instructors but I'd like some understanding. I'm truly trying despite ALL circumstances that make me discouraged ,0,[],i don t want pity instructors i d like understanding i m truly trying despite all circumstances discouraged,"['i', 'don', 't', 'want', 'pity', 'instructor', 'i', 'd', 'like', 'understanding', 'i', 'm', 'truly', 'trying', 'despite', 'all', 'circumstance', 'discouraged']"
"CommunitySleepCoach: Look at these #narcoleptic #puppies. Make you #smile. If you are human &amp; find yourself in such odd positions, seek #th… ",1,"['narcoleptic', 'puppies', 'smile', 'th']",communitysleepcoach look make if human amp odd positions seek,"['communitysleepcoach', 'look', 'make', 'if', 'human', 'amp', 'odd', 'position', 'seek']"
"@user 9 -9 vs Atlanta this yr, 2 - 11 vs Rockies and DBacks this yr. That's a combined 11 - 20 vs 3 atrocious teams in NL #awful ",0,['awful'],vs atlanta yr vs rockies dbacks yr that s combined vs atrocious teams nl,"['v', 'atlanta', 'yr', 'v', 'rockies', 'dbacks', 'yr', 'that', 's', 'combined', 'v', 'atrocious', 'team', 'nl']"
"@user @user experience all plays a role in that, it's education and preparedness not fear ",2,[],experience plays role that it s education preparedness fear,"['experience', 'play', 'role', 'that', 'it', 's', 'education', 'preparedness', 'fear']"
"@user appointment booked between 1-6 today, waited in all day and nobody showed up, also requested a call back and never got one #awful ",0,['awful'],appointment booked  today waited day showed up requested got,"['appointment', 'booked', 'today', 'waited', 'day', 'showed', 'up', 'requested', 'got']"
Summer officially ends today. #sadness ,3,['sadness'],summer officially ends today ,"['summer', 'officially', 'end', 'today']"
@user seriously dude buy some bubble tape for your phones. #snap broke another phone ,0,['snap'],seriously dude buy bubble tape phones broke phone,"['seriously', 'dude', 'buy', 'bubble', 'tape', 'phone', 'broke', 'phone']"
@user holy shit...what the hell happened to your lips!! Fix that shit! #mtv #teenmom #horrible ,0,"['mtv', 'teenmom', 'horrible']",holy shit what hell happened lips fix shit ,"['holy', 'shit', 'what', 'hell', 'happened', 'lip', 'fix', 'shit']"
final vestiges of my 90's childhood were just dashed on the shoals of hearing a house cover of Tracy Chapman's 'fast car' at the dayjob ,3,[],final vestiges s childhood dashed shoals hearing house cover tracy chapman s fast car dayjob,"['final', 'vestige', 's', 'childhood', 'dashed', 'shoal', 'hearing', 'house', 'cover', 'tracy', 'chapman', 's', 'fast', 'car', 'dayjob']"
Maybe the entire Russian team will test positive for meldonium and the North Americans will get to replace them  ,0,[],maybe entire russian team test positive meldonium north americans replace,"['maybe', 'entire', 'russian', 'team', 'test', 'positive', 'meldonium', 'north', 'american', 'replace']"
Hey folks sorry if anything offensive got posted on here yesterday my account got hacked. All fixed now though. I hope :-/ #angry #annoyed ,0,"['angry', 'annoyed']",hey folks sorry offensive got posted yesterday account got hacked all fixed though i hope,"['hey', 'folk', 'sorry', 'offensive', 'got', 'posted', 'yesterday', 'account', 'got', 'hacked', 'all', 'fixed', 'though', 'i', 'hope']"
in my dream....They were trying to steal my kidney!!!  #blackmarket #whydidiwatchthat ,0,"['blackmarket', 'whydidiwatchthat']",dream they trying steal kidney ,"['dream', 'they', 'trying', 'steal', 'kidney']"
I was not made for this world. #empath #unhappy ,3,"['empath', 'unhappy']",i world ,"['i', 'world']"
i'm... nervous about this test rip ,3,[],i m nervous test rip,"['i', 'm', 'nervous', 'test', 'rip']"
Ryan Gosling and Eva Mendes finally  ; B joyful an funny/dont boss/dont argue/do everything with kids/go on mini car trips/ focus on love ,1,[],ryan gosling eva mendes finally b joyful funny dont boss dont argue do kids go mini car trips focus love,"['ryan', 'gosling', 'eva', 'mendes', 'finally', 'b', 'joyful', 'funny', 'dont', 'bos', 'dont', 'argue', 'do', 'kid', 'go', 'mini', 'car', 'trip', 'focus', 'love']"
i was so embarrassed when she saw us i was like knvfkkjg she thinks we're stalkers n then she starts waving all cheerfully inviting us in 😩 ,3,[],embarrassed saw like knvfkkjg thinks we re stalkers n starts waving cheerfully inviting,"['embarrassed', 'saw', 'like', 'knvfkkjg', 'think', 'we', 're', 'stalker', 'n', 'start', 'waving', 'cheerfully', 'inviting']"
